ID,Name,City,State,Rating (YP),Count (YP),Rating (TA),Count (TA),Amenity_Family,Amenity_Alcohol,Amenity_Outdoor,Amenity_Wifi,Amenity_Group,Amenity_Reservation,Amenity_Wheelchair,Years,Address,Website
1046734,Don Pepe Incorporated,Hoover,AL,four half,4,4.0,49,NO,YES,NO,NO,YES,NO,YES,20,230 Doug Baker Blvd Ste 300,http://donpepegrill.com
468572966,Kairos Kafe,Gardendale,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,961 Main St,N/A
466234866,Papa Johns Pizza,Bessemer,AL,one,2,1.0,4,NO,NO,NO,NO,NO,NO,NO,39,1400 9th Ave N,https://locations.papajohns.com/united-states/al/35020/bessemer/1400-9th-avenue?utm_source=gmb&utm_medium=organic&y_source=1_MTA2OTA3OTUtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
7601463,Waffle House,Hoover,AL,one,1,3.5,12,YES,NO,NO,YES,YES,NO,NO,76,5419 Highway 280,http://www.wafflehouse.com
469455156,Chase Lake Cafe,Hoover,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,YES,NO,NO,22,2 Chase Corporate Dr Ste 10,http://www.allaroundtowncatering.com
6789666,Taqueria Mexico,Hoover,AL,one,2,3.5,2,NO,YES,NO,NO,YES,NO,YES,23,3724 Lorna Rd,N/A
469455163,Chicago Street Pizza,Hoover,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,3049 John Hawkins Pkwy,N/A
470383149,Cafe Castillo,Hoover,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,YES,N/A,4435 Galleria Blvd,N/A
470143765,The Pita Cafe,Hoover,AL,five,2,4.5,35,NO,YES,NO,NO,NO,NO,NO,N/A,2801 John Hawkins Pkwy,http://www.pitacafehoover.com
471994342,Sneaky Pete's Hot Dogs,Bessemer,AL,three,1,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,19,1901 2nd Ave N,N/A
473066391,Pizza Hut,Hoover,AL,one,1,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,2670 Valleydale Rd,http://www.pizzahut.com
466226457,Papa Johns Pizza,Hueytown,AL,N/A,N/A,4.0,3,NO,NO,NO,NO,NO,NO,NO,28,266 Forest Rd,https://locations.papajohns.com/united-states/al/35023/hueytown/266-forest-rd?utm_source=gmb&utm_medium=organic&y_source=1_MTA2OTA4MDQtNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
474373707,Antojitos Mexican Grill,Hoover,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,1836 Chase Drive,http://www.antojitosmexicanos.com
470254637,Subzone,Hoover,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,1851 Montgomery Hwy,N/A
470201314,Npc International,Hoover,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,53,500 Chase Park S,http://www.npr.org
479817832,Los Reyes Mexican Grill,Hueytown,AL,N/A,N/A,4.5,6,NO,NO,NO,NO,NO,NO,YES,N/A,821 Allison Bonnett Memorial Dr,https://www.facebook.com/LOS-REYES-MEXICAN-GRILL-606303796149364
460104481,Court Yard Cafe & Bakery,Bessemer,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,1901 2nd Ave N,N/A
7143851,D's Tamales Togo,Bessemer,AL,five,3,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,101 Hueytown Plz,http://www.dstamalestogo.com
2384969,Schlotzsky's,Hoover,AL,three,2,4.0,22,NO,YES,YES,NO,YES,NO,NO,53,103 Inverness Cors,https://locations.schlotzskys.com/al/hoover/103-inverness-corners?utm_source=extnet&utm_medium=organic&utm_campaign=locations_partner
470375278,Frontera Grill,Hoover,AL,two half,2,N/A,N/A,NO,YES,NO,NO,NO,NO,NO,14,5651 Grove Blvd,https://www.myfood2u.com
457137792,Jefferson's Restaurant,Hoover,AL,N/A,N/A,4.0,31,NO,YES,NO,YES,YES,NO,NO,33,4524 Southlake Parkway Suite 20,https://jeffersons.com/hoover
469460160,Tacala,Hoover,AL,N/A,N/A,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,N/A,100 Chase Park S,http://www.tacala.com
6524885,Starbucks Coffee,Hoover,AL,five,4,3.5,10,NO,NO,NO,NO,NO,NO,NO,53,4710 Highway 280,http://www.starbucks.com
451149730,Sneaky Pete's Hot Dogs,Gardendale,AL,four half,2,N/A,N/A,NO,NO,NO,NO,NO,NO,NO,36,439 Fieldstown Rd,http://www.sneakypeteshotdogs.com
469575349,Pablo's Restaurante & Cantina,Hoover,AL,three,4,N/A,N/A,NO,YES,YES,NO,NO,YES,NO,22,2760 John Hawkins Pkwy,http://www.pablosbham.com
2045233,Speedy's Mexican Foods,Bessemer,AL,five,1,4.0,27,NO,YES,NO,YES,NO,NO,YES,56,275 Forest Rd,http://www.speedysmex.com
469448170,Tropical Smoothie Cafe,Hoover,AL,N/A,N/A,4.0,16,NO,NO,NO,YES,NO,NO,NO,27,3049 John Hawkins Pkwy Ste 100,https://locations.tropicalsmoothiecafe.com/al/hoover/3049-john-hawkins-parkway?y_source=1_MTA5MDM2NDktNTUzLWxvY2F0aW9uLndlYnNpdGU%3D
469513929,American Deli,Hoover,AL,N/A,N/A,3.5,6,NO,NO,NO,NO,NO,NO,NO,9,5519 Grove Blvd Ste 137,https://americandeli.com
475594741,Little Caesars Pizza,Bessemer,AL,five,1,4.0,2,NO,NO,NO,NO,NO,NO,NO,N/A,215 Forest Rd Ste 101,https://littlecaesars.com/en-us/store/7916
467934529,Little Caesars Pizza,Gardendale,AL,five,1,3.0,2,NO,NO,NO,NO,NO,NO,NO,N/A,439 Fieldstown Rd,https://littlecaesars.com/en-us/store/441
14429159,Jason's Deli,Homewood,AL,N/A,N/A,N/A,N/A,NO,YES,YES,NO,YES,NO,NO,76,583 Brookwood Vlg,https://www.jasonsdeli.com/restaurants/brookwood-mall-deli
